level;compress;mb/s
1;56.42;0.88
1;53.97;1.01
1;58.42;1.04
1;56.13;0.93
1;62.11;0.94
1;56.01;0.97
1;59.50;1.09
1;59.72;1.08
1;56.39;1.00
1;60.67;1.08
2;53.83;1.37
2;59.05;1.35
2;56.61;1.18
2;55.74;1.26
2;54.06;1.27
2;59.59;1.19
2;56.79;1.24
2;52.38;1.19
2;58.13;1.23
2;56.71;1.04
3;52.04;1.41
3;58.19;1.53
3;55.58;1.47
3;54.14;1.31
3;59.56;1.48
3;54.30;1.50
3;56.62;1.37
3;58.70;1.59
3;55.73;1.27
3;53.03;1.64
4;54.20;1.39
4;60.12;1.68
4;58.42;1.67
4;52.87;1.45
4;55.52;1.83
4;61.83;2.06
4;57.48;1.90
4;51.06;1.67
4;52.34;1.48
4;50.01;1.25
5;56.12;1.90
5;57.92;1.82
5;56.58;1.76
5;55.59;1.64
5;55.58;1.80
5;50.23;1.72
5;57.59;2.11
5;60.87;1.99
5;58.21;1.67
5;50.35;1.45
6;53.08;1.73
6;54.42;1.90
6;55.23;1.71
6;55.69;1.80
6;51.06;1.47
6;54.90;1.82
6;52.76;1.71
6;54.79;1.88
6;54.49;1.31
6;53.94;1.60
7;52.50;1.87
7;57.13;1.90
7;54.92;1.98
7;59.67;2.22
7;55.29;1.85
7;51.54;1.69
7;55.88;1.76
7;57.63;2.19
7;48.91;1.79
7;57.10;2.24
8;60.43;2.23
8;56.10;2.37
8;52.67;2.17
8;54.19;1.93
8;52.26;1.86
8;53.02;2.27
8;58.43;1.91
8;53.39;2.13
8;56.87;1.55
8;53.55;1.93
9;56.95;2.08
9;56.58;1.96
9;55.52;1.99
9;55.15;2.07
9;57.64;2.12
9;57.18;1.60
9;54.50;1.73
9;57.66;1.66
9;57.54;1.97
9;55.84;2.00
